QD1_yrborn2,QD2_gender,QD14_ethnic,QD4_adulthh,QD5_childhh,QD3_marstat,QD16_disab,QD18_urbrur,QL2_Edntt,QO1_Labfor,QO4E_grader,Q1_income,weight
7,1,12,1,0,5,0,3,1,3,4,-2,0.5121463356590062
4,1,12,2,1,2,0,3,7,11,NA,-2,1.123642226142649
6,0,10,2,0,2,0,3,7,-2,NA,-2,0.8064869654022502
8,1,9,2,0,5,0,3,1,3,3,-2,1.0732763613072602
6,0,10,2,0,2,0,3,7,3,2,-2,0.8064869654022502
6,1,9,1,0,5,0,2,1,2,3,3,0.4229187386518191
2,0,9,4,0,2,0,1,7,2,2,5,1.229803358462453
6,1,7,2,0,4,1,1,7,3,6,4,0.621024639678569
4,0,9,1,0,1,0,1,7,1,4,3,0.7712099885480035
6,0,2,2,0,2,0,1,6,3,3,-2,0.710479155552338
2,0,9,2,0,3,0,1,7,1,3,-2,0.9526622273953272
1,0,-2,-2,0,1,0,1,7,2,5,-2,0.8004703671625943
2,0,13,1,0,1,0,1,7,1,3,4,0.64876444802544
5,0,9,4,0,2,0,1,0,1,3,2,1.1734334411156129
2,1,12,3,0,3,0,1,7,2,5,-2,1.0749621316770324
6,1,9,1,0,2,0,1,1,3,5,1,0.4229187386518191
2,1,9,2,0,3,0,1,7,2,3,6,0.8327150935816345
3,0,13,2,0,2,0,1,3,1,5,4,0.8666934358344822
1,1,6,3,0,1,0,1,7,8,NA,-2,1.3263293555131086
3,0,2,2,2,2,0,1,8,1,3,-2,0.8666934358344822
2,1,6,3,0,1,0,1,1,1,4,3,1.0749621316770324
2,1,6,3,0,1,0,1,7,7,NA,4,1.0749621316770324
3,0,12,2,1,2,0,1,3,1,3,4,0.8666934358344822
2,1,9,3,0,3,0,1,7,1,3,6,1.0749621316770324
1,0,13,3,0,1,0,1,3,7,NA,4,1.5173783780575307
1,1,9,4,0,1,0,1,7,1,2,3,1.3263293555131086
3,0,12,2,1,2,0,1,7,1,2,5,0.8666934358344822
3,1,12,2,0,1,0,1,5,1,2,3,0.7575704008972021
6,0,9,1,0,5,0,1,7,2,2,6,0.48383740210392423
5,1,9,1,0,2,1,1,1,5,NA,1,0.5410872736510686
2,1,5,2,0,1,0,1,7,1,2,5,0.8327150935816345
4,0,13,1,0,2,1,1,0,5,NA,2,0.7712099885480035
4,1,9,2,0,3,0,3,2,1,2,-2,0.9776305169064534
2,0,9,2,0,3,0,1,5,1,3,4,0.9408744083496737
2,0,9,2,0,3,0,1,5,1,2,-2,0.9408744083496737
5,0,9,1,0,4,1,1,1,5,NA,1,0.6113677683831708
5,0,12,2,2,2,0,1,7,1,2,9,0.8977479912135736
3,0,5,2,2,2,0,1,7,1,3,4,1.0227067783850254
2,0,1,2,0,1,0,1,7,1,4,3,1.12415079794679
2,0,6,3,0,1,0,1,3,1,5,4,1.4511800583435095
2,0,9,3,0,1,0,1,1,2,3,4,1.4511800583435095
6,0,9,2,0,2,0,1,3,3,6,-2,0.838372391253937
2,1,9,2,1,2,0,1,3,2,2,-2,0.9826120003429898
7,1,9,1,0,2,0,1,1,3,3,-2,0.5323946530049959
6,1,9,1,0,1,0,1,0,3,4,2,0.4990482710980891
2,1,9,2,0,1,0,1,1,4,4,2,0.9826120003429898
5,1,9,1,0,1,1,1,0,3,3,2,0.6384883046079779
2,0,7,2,0,1,0,1,7,1,3,-2,1.12415079794679
7,0,9,1,0,2,0,1,0,3,4,-2,0.6090826020741261
2,0,13,6,0,1,0,1,3,1,4,3,1.4511800583435095
1,1,9,4,0,1,0,4,5,2,5,-2,1.717723281674169
2,1,9,2,1,2,0,3,5,1,3,5,1.078445634412803
